DFHG urns, CITE urns
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.opuntiorum:121,urn:cite:lofts:fhg.aristoteles:121
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.opuntiorum:122,urn:cite:lofts:fhg.aristoteles:122
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.opuntiorum:123,urn:cite:lofts:fhg.aristoteles:123
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.opuntiorum:123,urn:cite:lofts:fhg.aristoteles:123
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.phocensium:124,urn:cite:lofts:fhg.aristoteles:124
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.phocensium:125,urn:cite:lofts:fhg.aristoteles:125
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.phocensium:126,urn:cite:lofts:fhg.aristoteles:126
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.aetolorum_acarnanum_leucadiorum:127,urn:cite:lofts:fhg.aristoteles:127
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.aetolorum_acarnanum_leucadiorum:128,urn:cite:lofts:fhg.aristoteles:128
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.ithacensium:129,urn:cite:lofts:fhg.aristoteles:129
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.ithacensium:130,urn:cite:lofts:fhg.aristoteles:130
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.ithacensium:131,urn:cite:lofts:fhg.aristoteles:131
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.ithacensium:132,urn:cite:lofts:fhg.aristoteles:132
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.ithacensium:133,urn:cite:lofts:fhg.aristoteles:133
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.epirotarum:134,urn:cite:lofts:fhg.aristoteles:134
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.ambraciotarum:135,urn:cite:lofts:fhg.aristoteles:135
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.ambraciotarum:136,urn:cite:lofts:fhg.aristoteles:136
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.ambraciotarum:136,urn:cite:lofts:fhg.aristoteles:136
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.ambraciotarum:136,urn:cite:lofts:fhg.aristoteles:136
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.molossorum:137,urn:cite:lofts:fhg.aristoteles:137
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.molossorum:137,urn:cite:lofts:fhg.aristoteles:137
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.corcyraeorum:138,urn:cite:lofts:fhg.aristoteles:138
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.corcyraeorum:139,urn:cite:lofts:fhg.aristoteles:139
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.corcyraeorum:139,urn:cite:lofts:fhg.aristoteles:139
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.epidamniorum:140,urn:cite:lofts:fhg.aristoteles:140
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.epidamniorum:140,urn:cite:lofts:fhg.aristoteles:140
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.epidamniorum:140,urn:cite:lofts:fhg.aristoteles:140
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.epidamniorum:140,urn:cite:lofts:fhg.aristoteles:140
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.apolloniatarum:141,urn:cite:lofts:fhg.aristoteles:141
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.maliensium:142,urn:cite:lofts:fhg.aristoteles:142
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.maliensium:143,urn:cite:lofts:fhg.aristoteles:143
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.maliensium:144,urn:cite:lofts:fhg.aristoteles:144
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.communis_thessalorum_respublica:145,urn:cite:lofts:fhg.aristoteles:145
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.communis_thessalorum_respublica:145.a,urn:cite:lofts:fhg.aristoteles:145.a
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.communis_thessalorum_respublica:146,urn:cite:lofts:fhg.aristoteles:146
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.communis_thessalorum_respublica:147,urn:cite:lofts:fhg.aristoteles:147
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.communis_thessalorum_respublica:148,urn:cite:lofts:fhg.aristoteles:148
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.larissaeorum:149,urn:cite:lofts:fhg.aristoteles:149
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.larissaeorum:150,urn:cite:lofts:fhg.aristoteles:150
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.larissaeorum:151,urn:cite:lofts:fhg.aristoteles:151
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.pharsaliorum:152,urn:cite:lofts:fhg.aristoteles:152
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.pharsaliorum:153,urn:cite:lofts:fhg.aristoteles:153
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.pharsaliorum:154,urn:cite:lofts:fhg.aristoteles:154
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.pharsaliorum:155,urn:cite:lofts:fhg.aristoteles:155
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.pharsaliorum:156,urn:cite:lofts:fhg.aristoteles:156
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.bottiaeorum:157,urn:cite:lofts:fhg.aristoteles:157
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.bottiaeorum:157,urn:cite:lofts:fhg.aristoteles:157
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.aphytaeorum:158,urn:cite:lofts:fhg.aristoteles:158
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.chalcidensium_in_thracia:159,urn:cite:lofts:fhg.aristoteles:159
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.amphipolitarum:160,urn:cite:lofts:fhg.aristoteles:160
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.amphipolitarum:160,urn:cite:lofts:fhg.aristoteles:160
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.amphipolitarum:161,urn:cite:lofts:fhg.aristoteles:161
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.amphipolitarum:161,urn:cite:lofts:fhg.aristoteles:161
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.byzantiorum:162,urn:cite:lofts:fhg.aristoteles:162
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.byzantiorum:162,urn:cite:lofts:fhg.aristoteles:162
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.apolloniatarum_ponticorum:163,urn:cite:lofts:fhg.aristoteles:163
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.histrianorum_ponticorum:,urn:cite:lofts:fhg.aristoteles:
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.deliorum:164,urn:cite:lofts:fhg.aristoteles:164
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.deliorum:165,urn:cite:lofts:fhg.aristoteles:165
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.deliorum:166,urn:cite:lofts:fhg.aristoteles:166
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.cythniorum:167,urn:cite:lofts:fhg.aristoteles:167
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.cythniorum:167,urn:cite:lofts:fhg.aristoteles:167
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.teniorum:167.a,urn:cite:lofts:fhg.aristoteles:167.a
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.meliorum:167.b,urn:cite:lofts:fhg.aristoteles:167.b
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.theraeon:,urn:cite:lofts:fhg.aristoteles:
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.chiorum:,urn:cite:lofts:fhg.aristoteles:
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.naxiorum:168,urn:cite:lofts:fhg.aristoteles:168
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.naxiorum:168.a,urn:cite:lofts:fhg.aristoteles:168.a
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.naxiorum:168.b,urn:cite:lofts:fhg.aristoteles:168.b
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.pariorum:,urn:cite:lofts:fhg.aristoteles:
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.tenediorum:169,urn:cite:lofts:fhg.aristoteles:169
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.tenediorum:170,urn:cite:lofts:fhg.aristoteles:170
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.tenediorum:170.a,urn:cite:lofts:fhg.aristoteles:170.a
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.samothracum:171,urn:cite:lofts:fhg.aristoteles:171
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.mytilenaeorum:172,urn:cite:lofts:fhg.aristoteles:172
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.mytilenaeorum:172,urn:cite:lofts:fhg.aristoteles:172
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.mytilenaeorum:172,urn:cite:lofts:fhg.aristoteles:172
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.mytilenaeorum:172,urn:cite:lofts:fhg.aristoteles:172
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.mytilenaeorum:172,urn:cite:lofts:fhg.aristoteles:172
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.antissaeorum:173,urn:cite:lofts:fhg.aristoteles:173
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.chiorum:174,urn:cite:lofts:fhg.aristoteles:174
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.chiorum:174,urn:cite:lofts:fhg.aristoteles:174
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.samiorum:175,urn:cite:lofts:fhg.aristoteles:175
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.samiorum:176,urn:cite:lofts:fhg.aristoteles:176
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.samiorum:176,urn:cite:lofts:fhg.aristoteles:176
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.samiorum:177,urn:cite:lofts:fhg.aristoteles:177
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.samiorum:178,urn:cite:lofts:fhg.aristoteles:178
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.samiorum:179,urn:cite:lofts:fhg.aristoteles:179
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.samiorum:179,urn:cite:lofts:fhg.aristoteles:179
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.samiorum:180,urn:cite:lofts:fhg.aristoteles:180
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.samiorum:181,urn:cite:lofts:fhg.aristoteles:181
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.samiorum:182,urn:cite:lofts:fhg.aristoteles:182
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.samiorum:183,urn:cite:lofts:fhg.aristoteles:183
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.samiorum:183,urn:cite:lofts:fhg.aristoteles:183
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.samiorum:183,urn:cite:lofts:fhg.aristoteles:183
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.coorum:184,urn:cite:lofts:fhg.aristoteles:184
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.rhodiorum:185,urn:cite:lofts:fhg.aristoteles:185
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.rhodiorum:185,urn:cite:lofts:fhg.aristoteles:185
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.rhodiorum:185,urn:cite:lofts:fhg.aristoteles:185
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.sinopensium:186,urn:cite:lofts:fhg.aristoteles:186
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.cianorum:187,urn:cite:lofts:fhg.aristoteles:187
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.heracleotarum_ponticorum:188,urn:cite:lofts:fhg.aristoteles:188
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.heracleotarum_ponticorum:188,urn:cite:lofts:fhg.aristoteles:188
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.heracleotarum_ponticorum:188,urn:cite:lofts:fhg.aristoteles:188
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.heracleotarum_ponticorum:188,urn:cite:lofts:fhg.aristoteles:188
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.heracleotarum_ponticorum:188,urn:cite:lofts:fhg.aristoteles:188
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.abydenorum:189,urn:cite:lofts:fhg.aristoteles:189
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.antandriorum:190,urn:cite:lofts:fhg.aristoteles:190
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.adramyttenorum:191,urn:cite:lofts:fhg.aristoteles:191
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.cumanorum:192,urn:cite:lofts:fhg.aristoteles:192
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.cumanorum:192,urn:cite:lofts:fhg.aristoteles:192
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.cumanorum:193,urn:cite:lofts:fhg.aristoteles:193
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.cumanorum:194,urn:cite:lofts:fhg.aristoteles:194
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.cumanorum:194,urn:cite:lofts:fhg.aristoteles:194
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.erythraeorum:195,urn:cite:lofts:fhg.aristoteles:195
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.clazomeniorum:196,urn:cite:lofts:fhg.aristoteles:196
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.colophoniorum:197,urn:cite:lofts:fhg.aristoteles:197
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.colophoniorum:198,urn:cite:lofts:fhg.aristoteles:198
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.magnesiorum:198.a,urn:cite:lofts:fhg.aristoteles:198.a
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.milesiorum:199,urn:cite:lofts:fhg.aristoteles:199
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.milesiorum:200,urn:cite:lofts:fhg.aristoteles:200
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.milesiorum:201,urn:cite:lofts:fhg.aristoteles:201
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.milesiorum:201,urn:cite:lofts:fhg.aristoteles:201
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.iasensium:201.a,urn:cite:lofts:fhg.aristoteles:201.a
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.cnidiorum:202,urn:cite:lofts:fhg.aristoteles:202
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.lyciorum:,urn:cite:lofts:fhg.aristoteles:
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.cypriorum:203,urn:cite:lofts:fhg.aristoteles:203
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.cypriorum:204,urn:cite:lofts:fhg.aristoteles:204
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.cypriorum:205,urn:cite:lofts:fhg.aristoteles:205
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.cyrenaeorum:206,urn:cite:lofts:fhg.aristoteles:206
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.cyrenaeorum:206,urn:cite:lofts:fhg.aristoteles:206
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.cyrenaeorum:207,urn:cite:lofts:fhg.aristoteles:207
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.cyrenaeorum:207,urn:cite:lofts:fhg.aristoteles:207
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.cyrenaeorum:208,urn:cite:lofts:fhg.aristoteles:208
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.carthaginiensium:209,urn:cite:lofts:fhg.aristoteles:209
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.carthaginiensium:210,urn:cite:lofts:fhg.aristoteles:210
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.carthaginiensium:210,urn:cite:lofts:fhg.aristoteles:210
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.carthaginiensium:210,urn:cite:lofts:fhg.aristoteles:210
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.carthaginiensium:210,urn:cite:lofts:fhg.aristoteles:210
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.carthaginiensium:210,urn:cite:lofts:fhg.aristoteles:210
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.carthaginiensium:210,urn:cite:lofts:fhg.aristoteles:210
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.carthaginiensium:210,urn:cite:lofts:fhg.aristoteles:210
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.carthaginiensium:210,urn:cite:lofts:fhg.aristoteles:210
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.agrigentinorum:211,urn:cite:lofts:fhg.aristoteles:211
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.agrigentinorum:211,urn:cite:lofts:fhg.aristoteles:211
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.agrigentinorum:212,urn:cite:lofts:fhg.aristoteles:212
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.agrigentinorum:213,urn:cite:lofts:fhg.aristoteles:213
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.agrigentinorum:214,urn:cite:lofts:fhg.aristoteles:214
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.agrigentinorum:215,urn:cite:lofts:fhg.aristoteles:215
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.imeraium:,urn:cite:lofts:fhg.aristoteles:
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.geloorum:216,urn:cite:lofts:fhg.aristoteles:216
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.geloorum:217,urn:cite:lofts:fhg.aristoteles:217
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.syracusanorum:218,urn:cite:lofts:fhg.aristoteles:218
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.syracusanorum:219,urn:cite:lofts:fhg.aristoteles:219
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.syracusanorum:220,urn:cite:lofts:fhg.aristoteles:220
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.syracusanorum:221,urn:cite:lofts:fhg.aristoteles:221
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.syracusanorum:221,urn:cite:lofts:fhg.aristoteles:221
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.syracusanorum:221,urn:cite:lofts:fhg.aristoteles:221
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.syracusanorum:221,urn:cite:lofts:fhg.aristoteles:221
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.syracusanorum:221,urn:cite:lofts:fhg.aristoteles:221
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.syracusanorum:222,urn:cite:lofts:fhg.aristoteles:222
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.syracusanorum:222,urn:cite:lofts:fhg.aristoteles:222
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.syracusanorum:222,urn:cite:lofts:fhg.aristoteles:222
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.syracusanorum:222,urn:cite:lofts:fhg.aristoteles:222
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.syracusanorum:222,urn:cite:lofts:fhg.aristoteles:222
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.syracusanorum:222,urn:cite:lofts:fhg.aristoteles:222
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.syracusanorum:222,urn:cite:lofts:fhg.aristoteles:222
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.syracusanorum:222,urn:cite:lofts:fhg.aristoteles:222
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.syracusanorum:222,urn:cite:lofts:fhg.aristoteles:222
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.syracusanorum:223,urn:cite:lofts:fhg.aristoteles:223
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.syracusanorum:223,urn:cite:lofts:fhg.aristoteles:223
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.syracusanorum:224,urn:cite:lofts:fhg.aristoteles:224
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.syracusanorum:224,urn:cite:lofts:fhg.aristoteles:224
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.leontinorum:225,urn:cite:lofts:fhg.aristoteles:225
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.leontinorum:225,urn:cite:lofts:fhg.aristoteles:225
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.catanaeorum:226,urn:cite:lofts:fhg.aristoteles:226
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.catanaeorum:226,urn:cite:lofts:fhg.aristoteles:226
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.catanaeorum:226,urn:cite:lofts:fhg.aristoteles:226
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.catanaeorum:226,urn:cite:lofts:fhg.aristoteles:226
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.catanaeorum:226,urn:cite:lofts:fhg.aristoteles:226
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.zanclaeorum:227,urn:cite:lofts:fhg.aristoteles:227
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.rheginorum:228,urn:cite:lofts:fhg.aristoteles:228
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.rheginorum:228.a,urn:cite:lofts:fhg.aristoteles:228.a
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.locrorum:229,urn:cite:lofts:fhg.aristoteles:229
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.locrorum:229,urn:cite:lofts:fhg.aristoteles:229
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.locrorum:230,urn:cite:lofts:fhg.aristoteles:230
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.locrorum:230,urn:cite:lofts:fhg.aristoteles:230
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.locrorum:231,urn:cite:lofts:fhg.aristoteles:231
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.locrorum:231,urn:cite:lofts:fhg.aristoteles:231
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.tarentinorum:232,urn:cite:lofts:fhg.aristoteles:232
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.tarentinorum:233,urn:cite:lofts:fhg.aristoteles:233
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.tarentinorum:233,urn:cite:lofts:fhg.aristoteles:233
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.tarentinorum:233,urn:cite:lofts:fhg.aristoteles:233
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.crotoniatarum:233.a,urn:cite:lofts:fhg.aristoteles:233.a
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.crotoniatarum:233.b,urn:cite:lofts:fhg.aristoteles:233.b
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.siritarum:234,urn:cite:lofts:fhg.aristoteles:234
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.sybaritarum_et_thuriorum:235,urn:cite:lofts:fhg.aristoteles:235
urn:lofts:fhg.aristoteles.aristotelis_fragmenta.de_rebus_publicis.sybaritarum_et_thuriorum:236,urn:cite:lofts:fhg.aristoteles:236
